Institution Name Primary,Identification Number Primary,Type,Event Date,Event Type,Institution Name (Secondary),Identification Number (Secondary)
1199 SEIU Credit Union,461202,Credit Unions,20020606,Convert Federal,,
1199 SEIU Credit Union,461202,Credit Unions,20010308,Name Change To,1199 SEIU Credit Union,
1199 SEIU Credit Union,461202,Credit Unions,19860102,Name Change To,Local 1199 Credit Union,
1199 SEIU Credit Union,461202,Credit Unions,19751001,Name Change To,District 1199 Credit Union,
1199 SEIU Credit Union,461202,Credit Unions,19600226,Name Change To,Retail Employees No. 1199 Credit Union Union,
1199 SEIU Credit Union,461202,Credit Unions,19460401,Name Change To,Local 1199 Credit Union,
1199 SEIU Credit Union,461202,Credit Unions,19440000,Name Change To,Retail Employees No. 1130 Credit Union Union,
1199 SEIU Credit Union,461202,Credit Unions,19401025,NYS Chartered,Drug Store Employees No. 1199 Credit Union,
150 Fifth Avenue Credit Union,8300422,Former Credit Union,19810622,Convert Federal,Global Ministries Federal Credit Union,
150 Fifth Avenue Credit Union,8300422,Former Credit Union,19600000,Name Change To,Wesley Credit Union,
150 Fifth Avenue Credit Union,8300422,Former Credit Union,19420608,NYS Chartered,150 Fifth Avenue Credit Union,
275 Broadhollow Road Bank,5000054,Bank,20070801,Convert Federal,New Commercial Bank of New York LLC,
275 Broadhollow Road Bank,5000054,Bank,20041230,,*Blank *Blank,
275 Broadhollow Road Bank,5000054,Bank,20011109,Merge To State,New Commercial Bank of New York,103057
275 Broadhollow Road Bank,5000054,Bank,20011023,NYS Chartered,275 Broadhollow Road bank,
2939 Niagara Street Credit Union,461804,Credit Unions,20040224,Convert Federal,Riverside Federal Credit Union,
2939 Niagara Street Credit Union,461804,Credit Unions,19900702,Acquire By Merger,D.S.E. Credit Union,470001
2939 Niagara Street Credit Union,461804,Credit Unions,19780717,Name Change To,Riverside Credit Union,
2939 Niagara Street Credit Union,461804,Credit Unions,19570628,Name Change To,2939 Niagara Street Credit Union,
2939 Niagara Street Credit Union,461804,Credit Unions,19420414,NYS Chartered,UAW Chevrolet River Road Credit Union,
"77 Bank, Ltd., The",620004,Foreign Branches,19990326,Closed,,
"77 Bank, Ltd., The",620004,Foreign Branches,19900925,Licensed,"77 Bank, Ltd., The",
Aareal Bank AG,2270181,Foreign Representative Offices,20080314,Closed,,
Aareal Bank AG,2270181,Foreign Representative Offices,20020807,Name Change To,Aareal Bank AG,
Aareal Bank AG,2270181,Foreign Representative Offices,20011123,Licensed,DePfa Bank AG,
Abingdon Square Savings Bank,8100092,Former Savings Bank,18760801,Failed,,
Abingdon Square Savings Bank,8100092,Former Savings Bank,18690000,Established,Abingdon Square Savings Bank,
ABN AMRO Bank N.V.,501001,Foreign Branches,20140130,Closed,,
ABN AMRO Bank N.V.,2270231,Foreign Representative Offices,20110816,Closed,,
ABN AMRO Bank N.V.,2270236,Foreign Representative Offices,20100809,NYS Chartered,ABN AMRO Bank N.V.,
ABN AMRO Bank N.V.,2270231,Foreign Representative Offices,20100226,NYS Chartered,ABN AMRO Bank N.V.,
ABN AMRO Bank N.V.,501001,Foreign Branches,20100208,Name Change To,The Royal Bank of Scotland N.V.,
ABN AMRO Bank N.V.,501001,Foreign Branches,19911119,Name Change To,ABN AMRO Bank N.V.,
ABN AMRO Bank N.V.,501001,Foreign Branches,19641005,Name Change To,Algemene Bank Nederland N.V.,
ABN AMRO Bank N.V.,501001,Foreign Branches,19630000,Agency To Branch,,
ABN AMRO Bank N.V.,501001,Foreign Branches,19410131,Licensed,"Nederlandsche Handel Maatschappij, N.V.",
ABSA Bank Limited,2270126,Foreign Representative Offices,20050628,Closed,,
ABSA Bank Limited,2270126,Foreign Representative Offices,19980408,NYS Chartered,ABSA Bank Limited,
"Adam, Meldrum & Anderson State Bank",99,Bank,19560307,Merge To State,Manufacturers and Traders Trust Company,113003
"Adam, Meldrum & Anderson State Bank",99,Bank,19230000,Established,"Adam, Meldrum & Anderson State Bank, The",
Adirondack Bank,5800217,Bank,20031230,Conversion Of,"Adirondack Bank, N.A.",
Adirondack Bank,5800217,Bank,20031230,NYS Chartered,Adirondack Bank,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,20040630,Convert Federal,HSBC Bank USA,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19991231,Name Change To,HSBC Bank USA,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19991231,Merge To State,Republic Bank of New York,170040
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19990329,Name Change To,HSBC Bank USA,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19931231,Convert State,Marine Midland Bank,5800183
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19800201,Convert Federal,"Marine Midland Bank, N.A.",8500023
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19760101,Merge To State,Marine Midland Bank (12/75-2/80),170046
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19700101,Name Change To,Marine Midland Bank - Northern,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19630601,Name Change To,Marine Midland Trust Company of Northern New York,
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,19590101,Merge To State,Northern New York Trust Company,5000018
Adirondack National Bank & Trust Co Saranac Lake,8500117,Former Bank/Trust Company,18970000,Established,Adirondack National Bnk & Trust Co of Saranac Lake,
"Adirondack Trust Company, The",101001,Trust Company,19010919,NYS Chartered,"Adirondack Trust Company, The",
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19290201,Name Change To,Irving Trust Company,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19261211,Name Change To,American Exchange Irving Trust Co.,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19260917,Name Change To,Irving Bank and Trust Company,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19230207,Name Change To,Irving Bank-Columbia Trust Co.,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19230207,Merge To State,Columbia Trust Company,102015
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19230101,Name Change To,Irving Bank of New York,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19230101,Convert State,,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19200401,Merge To Federal,Irving National Bank,45
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19200301,Convert Federal,New York National Irving Bank,
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19171101,Name Change To,Irving Trust Company (11/1917-03/1920),
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19130601,Merge To State,Broadway Trust Company,8500186
"Aetna National Bank of New York, The",8500199,Former Bank/Trust Company,19040000,Established,"Aetna National Bank of New York, The",
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19931230,Liquidated,,
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19900713,Assets Sold To,"Key Bank of Western New York, N.A.",8500140
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19771231,S&L To Saving Bnk,Permanent Savings Bank,216005
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19710701,Merge To State,Niagara Permanent Savings & Loan Association,8300257
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19671229,Name Change To,Buffalo Savings & Loan Association,
Aetna Permanent Savings & Loan Association,8200000,Former Savings and Loan,19670428,Merge To State,Ellicott Permanent Savings & Loan Association,8200008
